"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 02:06:57 GMT 2024","Sat Jun 15 02:07:01 GMT 2024","3781","CrossBrowser","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
"passed","Sat Jun 15 02:07:10 GMT 2024","Sat Jun 15 02:07:12 GMT 2024","2216","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Sat Jun 15 02:07:01 GMT 2024","Sat Jun 15 02:07:01 GMT 2024","1","Framework","FrameworkTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Sat Jun 15 02:06:57 GMT 2024","Sat Jun 15 02:07:00 GMT 2024","3725","CrossBrowser","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
"passed","Sat Jun 15 02:06:52 GMT 2024","Sat Jun 15 02:06:55 GMT 2024","2470","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 02:07:08 GMT 2024","Sat Jun 15 02:07:10 GMT 2024","2177","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 02:06:55 GMT 2024","Sat Jun 15 02:06:57 GMT 2024","1720","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Sat Jun 15 02:07:12 GMT 2024","Sat Jun 15 02:07:14 GMT 2024","1681","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Sat Jun 15 02:07:01 GMT 2024","Sat Jun 15 02:07:01 GMT 2024","0","Framework","FrameworkTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Sat Jun 15 02:06:49 GMT 2024","Sat Jun 15 02:06:52 GMT 2024","2628","CrossBrowser","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
