"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:44:40 GMT 2024","Thu Jun 06 17:44:42 GMT 2024","1655","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Thu Jun 06 17:44:33 GMT 2024","Thu Jun 06 17:44:36 GMT 2024","2894","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 17:44:36 GMT 2024","Thu Jun 06 17:44:40 GMT 2024","3746","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 06 17:44:33 GMT 2024","Thu Jun 06 17:44:33 GMT 2024","5","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Thu Jun 06 17:44:33 GMT 2024","Thu Jun 06 17:44:33 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
