"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 22:53:24 GMT 2024","Fri Jun 14 22:53:28 GMT 2024","3486","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 22:53:37 GMT 2024","Fri Jun 14 22:53:39 GMT 2024","2076","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 22:53:28 GMT 2024","Fri Jun 14 22:53:30 GMT 2024","2158","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 22:53:32 GMT 2024","Fri Jun 14 22:53:36 GMT 2024","4012","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
"passed","Fri Jun 14 22:53:36 GMT 2024","Fri Jun 14 22:53:36 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Fri Jun 14 22:53:41 GMT 2024","Fri Jun 14 22:53:42 GMT 2024","1326","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Fri Jun 14 22:53:32 GMT 2024","Fri Jun 14 22:53:36 GMT 2024","4209","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
"passed","Fri Jun 14 22:53:30 GMT 2024","Fri Jun 14 22:53:32 GMT 2024","1560","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Fri Jun 14 22:53:39 GMT 2024","Fri Jun 14 22:53:41 GMT 2024","2044","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Fri Jun 14 22:53:20 GMT 2024","Fri Jun 14 22:53:20 GMT 2024","2","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testFail","testFail",""
