"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 23:12:39 GMT 2024","Fri Jun 14 23:12:41 GMT 2024","1629","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Fri Jun 14 23:12:35 GMT 2024","Fri Jun 14 23:12:38 GMT 2024","2923","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 23:13:03 GMT 2024","Fri Jun 14 23:13:05 GMT 2024","1767","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Fri Jun 14 23:13:00 GMT 2024","Fri Jun 14 23:13:03 GMT 2024","2304","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 23:12:41 GMT 2024","Fri Jun 14 23:12:45 GMT 2024","3935","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
"passed","Fri Jun 14 23:12:47 GMT 2024","Fri Jun 14 23:12:49 GMT 2024","2461","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Fri Jun 14 23:12:37 GMT 2024","Fri Jun 14 23:12:39 GMT 2024","2300","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Fri Jun 14 23:12:32 GMT 2024","Fri Jun 14 23:12:32 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Fri Jun 14 23:12:33 GMT 2024","Fri Jun 14 23:12:36 GMT 2024","2669","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 23:12:41 GMT 2024","Fri Jun 14 23:12:45 GMT 2024","4126","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 23:12:51 GMT 2024","Fri Jun 14 23:12:57 GMT 2024","5821","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
"passed","Fri Jun 14 23:12:45 GMT 2024","Fri Jun 14 23:12:45 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Fri Jun 14 23:12:58 GMT 2024","Fri Jun 14 23:13:00 GMT 2024","2330","Smoke","Smoke Test Run","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Fri Jun 14 23:12:41 GMT 2024","Fri Jun 14 23:12:45 GMT 2024","4293","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","TC-03 Open Base URL",""
